"year","area","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2006-2010 5-year estimates",34,5674.000,3408.000,2266.000,"313.00 - 860.00",13595.000,4097.000,9498.000,2042.000,1488.000,609.000,9061.000,395.000
"2006-2010 5-year estimates",35,11247.000,8240.000,3007.000,"247.00 - 989.00",19524.000,5406.000,14118.000,2355.000,14860.000,373.000,1766.000,170.000
"2006-2010 5-year estimates",36,2722.000,2068.000,654.000,"582.00 - 831.00",5835.000,1992.000,3843.000,188.000,5402.000,133.000,51.000,61.000
"2006-2010 5-year estimates",37,1607.000,897.000,710.000,"500.00 - 1020.00",3060.000,1426.000,1634.000,61.000,2900.000,55.000,9.000,35.000
"2006-2010 5-year estimates",38,11989.000,7327.000,4662.000,"348.00 - 1052.00",21881.000,6804.000,15077.000,616.000,20679.000,310.000,32.000,244.000
"2006-2010 5-year estimates",39,10761.000,6492.000,4269.000,"578.00 - 1126.00",18036.000,4486.000,13550.000,2911.000,12981.000,397.000,1318.000,429.000
"2006-2010 5-year estimates",40,5670.000,3516.000,2154.000,"690.00 - 930.00",10478.000,4354.000,6124.000,16.000,10253.000,149.000,9.000,51.000
"2006-2010 5-year estimates",41,15028.000,8890.000,6138.000,"723.00 - 1236.00",25878.000,5607.000,20271.000,12352.000,8605.000,1752.000,2713.000,456.000
"2006-2010 5-year estimates",42,12585.000,7897.000,4688.000,"676.00 - 906.00",21453.000,6462.000,14992.000,1383.000,18876.000,504.000,366.000,325.000
"2006-2010 5-year estimates",43,30757.000,21656.000,9101.000,"655.00 - 964.00",51224.000,15944.000,35279.000,560.000,49326.000,509.000,123.000,705.000
"2006-2010 5-year estimates",44,17719.000,10362.000,7357.000,"725.00 - 824.00",35023.000,8577.000,26446.000,120.000,34157.000,103.000,130.000,513.000
"2006-2010 5-year estimates",45,4461.000,1436.000,3025.000,"861.00 - 1043.00",9948.000,1925.000,8023.000,168.000,9632.000,20.000,16.000,112.000
"2006-2010 5-year estimates",46,14771.000,7591.000,7180.000,"374.00 - 950.00",32436.000,10060.000,22376.000,840.000,23645.000,7731.000,17.000,203.000
"2006-2010 5-year estimates",47,1250.000,530.000,720.000,"592.00 - 592.00",3432.000,1081.000,2351.000,74.000,3358.000,0.000,0.000,0.000
"2006-2010 5-year estimates",48,6279.000,1486.000,4793.000,"695.00 - 1144.00",14954.000,2192.000,12762.000,132.000,14212.000,514.000,72.000,24.000
"2006-2010 5-year estimates",49,18586.000,7051.000,11535.000,"772.00 - 1253.00",47646.000,11045.000,36601.000,270.000,46551.000,266.000,50.000,509.000
"2006-2010 5-year estimates",50,3595.000,1690.000,1905.000,"749.00 - 1009.00",7723.000,1842.000,5881.000,555.000,6479.000,689.000,0.000,0.000
"2006-2010 5-year estimates",51,6005.000,1857.000,4148.000,"612.00 - 1363.00",16258.000,4385.000,11873.000,1144.000,9637.000,5232.000,40.000,205.000
"2006-2010 5-year estimates",52,7928.000,2160.000,5768.000,"734.00 - 822.00",25216.000,5223.000,19993.000,4238.000,482.000,20364.000,59.000,73.000
"2006-2010 5-year estimates",53,12017.000,3967.000,8050.000,"763.00 - 1315.00",32599.000,8424.000,24175.000,201.000,30811.000,1402.000,0.000,185.000
"2006-2010 5-year estimates",54,3390.000,1944.000,1446.000,"306.00 - 463.00",5888.000,3531.000,2357.000,20.000,5751.000,77.000,40.000,0.000
