"year","place","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2006-2010 5-year estimates","Chicago",1197741.000,592752.000,604989.000,"885",2703466.000,565024.000,2138442.000,859282.000,909842.000,753375.000,143654.000,37313.000
"2013-2017 5-year estimates","Chicago",1200305.000,626328.000,573977.000,"1029",2722586.000,560853.000,2161733.000,890322.000,820180.000,789713.000,167575.000,54796.000
