"filing_year","area","rental_units_total","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,27,15266,933,6.110,25,5,903,212,691,1930.920,208,208,217,165,105,135,768,779,124,54,70,464,439,430,349,34,90,22,32,12,58,275,117,511,273,115,391,2,2,120,103,800,100,679,3,121
2010,28,15451,848,5.490,39,4,805,165,640,1850,162,138,294,154,57,287,518,723,82,57,25,497,308,469,254,28,54,27,30,1,24,294,86,425,290,85,348,4,1,77,96,709,93,630,3,79
2010,29,11828,707,5.980,36,12,659,121,538,2000,120,99,242,145,53,215,444,594,65,48,17,407,252,377,217,30,35,30,18,0,17,247,59,353,241,58,295,6,1,58,109,550,103,491,6,59
2010,30,9323,258,2.770,24,2,232,62,170,2000,61,32,75,48,16,72,160,209,23,17,6,138,94,124,85,14,9,12,5,2,4,89,26,117,87,26,96,2,0,21,27,205,26,183,1,22
2010,31,9222,319,3.460,37,3,279,66,213,2000,65,35,109,46,24,103,176,244,35,26,9,181,98,163,81,18,17,16,10,2,7,111,27,141,110,26,108,1,1,33,32,247,30,214,2,33
2010,32,13041,179,1.370,6,4,169,31,138,2350,30,16,58,50,15,31,138,148,21,19,2,97,72,85,63,12,9,12,7,0,2,57,19,93,54,19,75,3,0,18,32,137,31,117,1,20
2010,33,11624,225,1.940,17,3,205,35,170,2251.600,30,21,74,60,20,34,171,173,32,29,3,127,78,113,60,14,18,14,15,0,3,73,15,117,72,15,86,1,0,31,33,172,32,141,1,31
2010,34,5510,356,6.460,36,3,317,91,226,2200,90,30,96,65,36,172,145,284,33,23,10,187,130,179,105,8,25,8,15,0,10,119,30,168,118,29,137,1,1,31,35,282,35,249,0,33
2010,35,11647,257,2.210,9,4,244,50,194,1890,49,38,84,55,18,71,173,203,41,30,11,160,84,135,68,25,16,24,6,1,10,97,19,128,94,19,90,3,0,38,35,209,35,168,0,41
2010,36,7074,215,3.040,27,5,183,60,123,2001.740,61,14,57,37,14,73,110,163,20,16,4,117,66,103,60,14,6,12,4,2,2,74,16,93,72,16,75,2,0,18,21,162,20,143,1,19
2010,37,10251,706,6.890,43,6,657,151,506,1725,148,120,239,115,35,306,351,589,68,55,13,431,226,399,190,32,36,27,28,5,8,277,56,324,276,54,259,1,2,65,113,544,109,480,4,64
2010,38,5855,134,2.290,15,3,116,27,89,2320,27,12,34,32,11,38,78,103,13,11,2,69,47,60,43,9,4,8,3,1,1,37,5,74,36,5,62,1,0,12,17,99,17,86,0,13
2010,39,8903,179,2.010,11,3,165,40,125,2416.770,40,19,44,47,15,29,136,147,18,10,8,109,56,99,48,10,8,6,4,4,4,66,12,87,65,12,70,1,0,17,23,142,22,125,1,17
2010,40,13493,308,2.280,19,1,288,56,232,2344.190,54,30,98,72,34,37,251,255,33,27,6,177,111,159,96,18,15,14,13,4,2,105,20,163,104,19,132,1,1,31,49,239,48,207,1,32
2010,41,6254,172,2.750,6,0,166,23,143,2100,20,21,70,37,18,26,140,154,12,11,1,88,78,84,70,4,8,4,7,0,1,54,30,82,54,30,70,0,0,12,18,148,18,136,0,12
2010,42,17700,726,4.100,11,9,706,27,679,3259.680,23,26,215,256,186,10,696,627,79,76,3,359,347,321,306,38,41,36,40,2,1,179,115,412,173,113,341,6,2,71,175,531,170,457,5,74
2010,43,16995,233,1.370,6,2,225,19,206,2408.440,17,16,90,56,46,5,220,205,20,17,3,110,115,101,104,9,11,9,8,0,3,62,32,131,60,31,114,2,1,17,38,187,36,169,2,18
2010,44,22990,292,1.270,3,4,285,19,266,1935,18,61,101,72,33,9,276,256,29,27,2,140,145,126,130,14,15,14,13,0,2,88,46,151,86,45,125,2,1,26,53,232,52,204,1,28
2010,45,8822,244,2.770,18,1,225,41,184,2338.740,37,12,94,63,19,55,170,205,20,17,3,140,85,130,75,10,10,9,8,1,2,86,17,122,84,17,104,2,0,18,32,193,31,174,1,19
2010,46,20756,584,2.810,3,2,579,61,518,1854.860,61,115,221,143,39,27,552,519,60,36,24,331,248,306,213,25,35,21,15,4,20,201,79,299,197,78,244,4,1,55,92,487,89,430,3,57
2010,47,16758,163,0.970,5,4,154,32,122,2292.500,34,21,44,33,22,12,142,137,17,11,6,93,61,86,51,7,10,7,4,0,6,57,20,77,57,20,60,0,0,17,18,136,18,119,0,17
2010,48,20442,658,3.220,7,2,649,40,609,2488.910,35,76,232,231,75,34,615,600,49,36,13,393,256,366,234,27,22,24,12,3,10,242,63,344,241,63,296,1,0,48,100,549,97,503,3,46
2010,49,18427,716,3.890,13,10,693,77,616,2199.640,74,75,294,193,57,88,605,626,67,53,14,445,248,411,215,34,33,32,21,2,12,279,66,348,275,64,287,4,2,61,108,585,107,519,1,66
2010,50,9248,366,3.960,23,3,340,48,292,2645.250,48,32,101,106,53,54,286,303,37,35,2,219,121,198,105,21,16,21,14,0,2,142,31,167,138,31,134,4,0,33,59,281,56,247,3,34
2011,1,,377,2.360,19,3,355,98,257,2040,94,56,94,67,44,87,268,306,49,33,16,189,166,174,132,15,34,14,19,1,15,111,31,213,109,31,166,2,0,47,42,313,42,264,0,49
2011,2,,506,2.770,13,10,483,64,419,2527.780,61,48,159,137,78,65,418,428,55,45,10,264,219,240,188,24,31,22,23,2,8,160,62,261,156,61,211,4,1,50,85,398,78,350,7,48
2011,3,,970,6.240,24,7,939,129,810,2462.500,126,154,259,259,141,129,810,814,125,83,42,501,438,458,356,43,82,37,46,6,36,272,92,575,269,88,457,3,4,118,149,790,142,672,7,118
2011,4,,1229,6.170,20,12,1197,134,1063,1400,121,374,401,184,117,55,1142,1079,118,85,33,599,598,550,529,49,69,43,42,6,27,350,178,669,345,175,559,5,3,110,175,1022,164,915,11,107
2011,5,,1208,6.030,16,7,1185,215,970,1884,198,224,391,217,155,132,1053,1073,112,91,21,719,466,666,407,53,59,51,40,2,19,419,101,665,415,99,559,4,2,106,189,996,179,894,10,102
2011,6,,920,5.960,31,9,880,218,662,1760.970,210,124,334,159,53,293,587,798,82,60,22,555,325,522,276,33,49,27,33,6,16,337,64,479,330,61,407,7,3,72,124,756,119,679,5,77
2011,7,,1295,8.520,20,12,1263,255,1008,1743.750,248,191,533,233,58,250,1013,1152,111,87,24,810,453,749,403,61,50,52,35,9,15,487,93,683,479,92,581,8,1,102,186,1077,180,972,6,105
2011,8,,827,6.520,21,11,795,212,583,1800,210,116,279,134,56,190,605,712,83,66,17,531,264,498,214,33,50,31,35,2,15,334,60,401,332,56,324,2,4,77,116,679,114,598,2,81
2011,9,,689,7.390,26,8,655,140,515,1302.950,139,193,195,83,45,199,456,577,78,33,45,354,301,338,239,16,62,13,20,3,42,248,76,331,246,73,258,2,3,73,69,586,69,508,0,78
2011,10,,299,4.330,15,3,281,46,235,1900,46,49,97,57,32,132,149,251,30,27,3,184,97,168,83,16,14,15,12,1,2,104,27,150,103,27,121,1,0,29,48,233,47,204,1,29
2011,11,,301,2.790,7,4,290,48,242,2265,47,29,102,81,31,105,185,255,35,30,5,199,91,177,78,22,13,21,9,1,4,112,24,154,107,24,124,5,0,30,51,239,50,205,1,34
2011,12,,323,3.820,13,3,307,91,216,1800,90,43,101,54,19,151,156,279,28,23,5,203,104,187,92,16,12,16,7,0,5,118,29,160,117,29,133,1,0,27,43,264,40,239,3,25
2011,13,,155,3.900,18,1,136,32,104,1900,32,20,42,27,15,57,79,116,20,19,1,79,57,70,46,9,11,9,10,0,1,45,12,79,44,11,61,1,1,18,16,120,15,101,1,19
2011,14,,203,3.620,15,1,187,56,131,1810,55,28,59,32,13,80,107,162,25,20,5,113,74,100,62,13,12,10,10,3,2,66,14,107,65,14,83,1,0,24,23,164,23,139,0,25
2011,15,,285,3.400,15,0,270,83,187,1800,81,35,97,48,9,150,120,242,28,20,8,174,96,161,81,13,15,10,10,3,5,101,23,146,99,22,121,2,1,25,35,235,34,208,1,27
2011,16,,642,6.220,30,4,608,165,443,1800,159,86,204,108,51,265,343,552,56,42,14,402,206,371,181,31,25,27,15,4,10,221,39,348,217,39,296,4,0,52,80,528,76,476,4,52
2011,17,,758,6.830,24,2,732,157,575,1820,155,115,276,140,46,255,477,658,74,59,15,477,255,436,222,41,33,34,25,7,8,281,49,402,275,49,334,6,0,68,95,637,95,563,0,74
2011,18,,160,4.630,17,1,142,39,103,2400,37,10,44,31,20,43,99,126,16,11,5,83,59,76,50,7,9,6,5,1,4,37,9,96,36,9,81,1,0,15,19,123,18,108,1,15
2011,19,,196,5.450,8,4,184,24,160,1739.500,23,25,93,29,14,23,161,164,20,17,3,106,78,92,72,14,6,12,5,2,1,55,18,111,54,17,93,1,1,18,20,164,20,144,0,20
2011,20,,1062,7.090,37,9,1016,228,788,1756,222,183,349,181,81,258,758,912,104,74,30,682,334,629,283,53,51,44,30,9,21,417,76,523,413,74,425,4,2,98,155,861,151,761,4,100
2011,21,,650,7.240,21,2,627,107,520,1950,100,52,331,96,48,170,457,567,60,50,10,414,213,381,186,33,27,30,20,3,7,269,46,312,266,46,255,3,0,57,98,529,97,470,1,59
2011,22,,195,2.620,16,0,179,58,121,1600,58,29,51,27,14,97,82,165,14,9,5,115,64,111,54,4,10,4,5,0,5,71,19,89,71,17,77,0,2,12,23,156,23,142,0,14
2011,23,,181,3.990,10,2,169,35,134,1650,34,30,66,28,11,52,117,153,16,11,5,107,62,101,52,6,10,6,5,0,5,56,14,99,56,14,83,0,0,16,23,146,23,130,0,16
2011,24,,687,6.090,21,12,654,151,503,1977.500,150,110,204,126,64,263,391,570,84,46,38,407,247,378,192,29,55,19,27,10,28,230,35,389,228,34,308,2,1,81,102,552,98,472,4,80
2011,25,,412,3.160,9,6,397,89,308,2500,83,55,101,84,74,93,304,353,44,29,15,228,169,207,146,21,23,21,8,0,15,131,37,229,128,36,189,3,1,40,60,337,59,294,1,43
2011,26,,518,4.090,31,2,485,122,363,1998.180,120,64,169,86,46,134,351,424,61,47,14,303,182,272,152,31,30,29,18,2,12,174,41,270,170,41,213,4,0,57,62,423,62,362,0,61
2011,27,,1031,6.630,28,3,1000,216,784,1619.960,213,249,280,179,79,112,888,858,142,68,74,541,459,503,355,38,104,32,36,6,68,324,112,564,322,110,426,2,2,138,127,873,121,737,6,136
2011,28,,859,5.590,35,12,812,177,635,2000,173,134,252,168,85,265,547,713,99,66,33,482,330,445,268,37,62,34,32,3,30,261,70,481,254,68,391,7,2,90,121,691,117,596,4,95
2011,29,,834,7.140,32,6,796,112,684,1794.920,108,139,326,168,55,247,549,735,61,43,18,491,305,464,271,27,34,24,19,3,15,311,75,410,309,74,352,2,1,58,134,662,129,606,5,56
2011,30,,328,3.510,34,4,290,78,212,1750,77,38,108,51,16,84,206,255,35,30,5,177,113,159,96,18,17,15,15,3,2,96,25,169,95,24,136,1,1,33,41,249,41,214,0,35
2011,31,,301,3.260,24,2,275,72,203,2100,71,25,98,60,21,84,191,240,35,25,10,166,109,151,89,15,20,14,11,1,9,93,25,157,91,23,126,2,2,31,31,244,30,210,1,34
2011,32,,189,1.460,4,4,181,36,145,2430,35,13,63,53,17,37,144,154,27,25,2,97,84,85,69,12,15,10,15,2,0,55,20,106,54,19,81,1,1,25,27,154,27,127,0,27
2011,33,,263,2.230,23,5,235,58,177,2216.500,58,27,77,53,20,45,190,205,30,23,7,136,99,126,79,10,20,9,14,1,6,82,18,135,81,18,106,1,0,29,34,201,34,171,0,30
2011,34,,385,6.950,23,2,360,100,260,2250,100,49,92,73,46,195,165,324,36,28,8,235,125,212,112,23,13,18,10,5,3,126,29,205,124,29,171,2,0,34,55,305,53,271,2,34
2011,35,,307,2.630,15,4,288,79,209,2093.400,77,38,94,53,26,80,208,254,34,26,8,173,115,156,98,17,17,15,11,2,6,96,21,171,94,21,139,2,0,32,44,244,42,212,2,32
2011,36,,228,3.240,31,1,196,66,130,2250,63,21,53,34,25,63,133,177,19,18,1,127,69,114,63,13,6,12,6,1,0,83,11,102,83,11,83,0,0,19,17,179,16,161,1,18
2011,37,,814,7.980,38,9,767,167,600,1650,162,140,293,120,52,297,470,696,71,49,22,463,304,436,260,27,44,24,25,3,19,280,70,417,277,69,350,3,1,67,98,669,94,602,4,67
2011,38,,174,2.920,15,1,158,43,115,2280.670,43,21,44,34,16,38,120,144,14,12,2,93,65,86,58,7,7,7,5,0,2,49,13,96,49,12,83,0,1,13,20,138,20,124,0,14
2011,39,,206,2.320,13,1,192,39,153,2135,38,25,63,38,28,33,159,161,31,25,6,119,73,101,60,18,13,17,8,1,5,50,14,128,50,14,97,0,0,31,22,170,22,139,0,31
2011,40,,277,2.030,17,4,256,44,212,2480,43,19,89,55,50,51,205,229,27,23,4,155,101,140,89,15,12,15,8,0,4,83,18,155,79,18,132,4,0,23,41,215,40,189,1,26
2011,41,,164,2.570,6,4,154,20,134,2306.420,20,20,56,34,24,18,136,134,20,19,1,95,59,84,50,11,9,10,9,1,0,58,19,77,55,19,60,3,0,17,36,118,35,99,1,19
2011,42,,531,2.790,7,11,513,29,484,3399.160,28,19,140,172,154,11,502,443,70,69,1,250,263,221,222,29,41,29,40,0,1,133,69,311,129,68,246,4,1,65,96,417,91,352,5,65
2011,43,,212,1.240,4,5,203,24,179,2859.500,21,16,63,51,52,6,197,173,30,25,5,97,106,84,89,13,17,11,14,2,3,46,20,137,45,20,108,1,0,29,40,163,38,135,2,28
2011,44,,226,0.990,3,6,217,14,203,1920,14,28,95,50,30,12,205,192,25,22,3,113,104,98,94,15,10,14,8,1,2,67,24,126,66,24,102,1,0,24,36,181,33,159,3,22
2011,45,,247,2.790,10,3,234,39,195,2096.250,38,28,99,46,23,45,189,205,29,22,7,146,88,131,74,15,14,14,8,1,6,81,22,131,80,21,104,1,1,27,39,195,39,166,0,29
2011,46,,591,2.830,7,6,578,56,522,2182,48,89,217,157,67,26,552,518,60,42,18,317,261,300,218,17,43,13,29,4,14,183,68,327,180,65,273,3,3,54,98,480,95,423,3,57
2011,47,,163,0.970,2,1,160,28,132,2246.690,30,17,55,36,22,30,130,139,21,18,3,96,64,81,58,15,6,14,4,1,2,49,11,100,47,11,81,2,0,19,15,145,14,125,1,20
2011,48,,690,3.350,10,3,677,48,629,2602,38,62,238,236,103,25,652,614,63,50,13,419,258,391,223,28,35,27,23,1,12,266,74,337,263,71,280,3,3,57,138,539,133,481,5,58
2011,49,,757,4.040,7,9,741,79,662,2165,72,103,289,204,73,83,658,670,71,55,16,456,285,414,256,42,29,37,18,5,11,276,51,414,270,50,350,6,1,64,115,626,113,557,2,69
2011,50,,384,4.030,22,4,358,49,309,2832.880,46,28,106,118,60,44,314,325,33,28,5,232,126,215,110,17,16,17,11,0,5,137,33,188,133,33,159,4,0,29,70,288,69,256,1,32
2012,1,,341,2.130,24,8,309,89,220,1750.560,90,70,63,57,29,59,250,273,36,27,9,171,138,155,118,16,20,15,12,1,8,101,28,180,99,28,146,2,0,34,46,263,44,229,2,34
